
Linux 5.2.8org200301 (knl03.kisti.re.kr) 	2020년 03월 25일 	_x86_64_	(68 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all     12.93      0.00      0.60      0.00      0.00     86.47
                all     13.01      0.00      0.49      0.00      0.00     86.50
                all      0.24      0.00      1.74      0.01      0.00     98.01
end------
                all      0.39      0.00      3.03      0.00      0.00     96.58
                all      0.46      0.00      1.96      0.03      0.00     97.55
                all      0.53      0.00      1.72      0.00      0.00     97.75
                all      0.50      0.00      1.78      0.00      0.00     97.72
                all      0.49      0.00      1.77      0.10      0.00     97.64
start----
                all      5.74      0.00      1.66      0.38      0.00     92.22
                all     12.91      0.00      0.62      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.31      0.00      0.21      0.00      0.00     86.48
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.29      0.00      0.28      0.00      0.00     86.43
                all     13.27      0.00      0.28      0.04      0.00     86.41
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all      9.35      0.00      1.86      1.80      0.00     87.00
                all     13.06      0.00      0.46      0.00      0.00     86.49
                all     13.30      0.00      0.22      0.00      0.00     86.48
                all     13.28      0.00      0.25      0.03      0.00     86.44
                all     13.56      0.00      0.28      0.06      0.00     86.10
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.30      0.00      0.22      0.00      0.00     86.48
                all     13.31      0.00      0.27      0.04      0.00     86.38
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.01      0.00      0.53      0.00      0.00     86.46
                all     12.93      0.00      0.59      0.00      0.00     86.48
                all     13.31      0.00      0.37      0.00      0.00     86.32
                all     13.28      0.00      0.22      0.00      0.00     86.49
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.29      0.00      0.24      0.00      0.00     86.47
