
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all     99.68      0.00      0.32      0.00      0.00      0.00
                all     93.84      0.00      0.60      0.00      0.00      5.56
                all     47.74      0.00      0.38      0.00      0.00     51.87
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.38      0.00      0.09      0.00      0.00     99.53
                all      0.15      0.00      6.46      4.23      0.00     89.16
                all      0.06      0.00      0.63      5.28      0.00     94.03
end------
                all      0.03      0.00      0.20      0.00      0.00     99.77
                all      0.17      0.00      0.53      0.00      0.00     99.31
                all      0.13      0.00      0.44      0.00      0.00     99.43
                all      0.12      0.00      0.44      0.00      0.00     99.44
start----
                all      5.18      0.00      0.77      0.01      0.00     94.04
                all     99.68      0.00      0.32      0.00      0.00      0.00
                all     99.45      0.00      0.55      0.00      0.00      0.00
                all     99.37      0.00      0.63      0.00      0.00      0.00
                all     99.16      0.00      0.84      0.00      0.00      0.00
                all     97.76      0.00      0.62      0.00      0.00      1.61
                all     84.68      0.00      0.53      0.00      0.00     14.79
                all     26.36      0.00      0.10      0.00      0.00     73.54
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.38      0.00      0.93      0.01      0.00     98.69
                all      0.32      0.00      4.11      6.00      0.00     89.58
                all      0.02      0.00      0.24      0.01      0.00     99.73
end------
                all      0.11      0.00      0.37      0.00      0.00     99.51
                all      0.15      0.00      0.53      0.00      0.00     99.31
