
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.09      0.00      1.23      6.72      0.00     91.97
                all      0.06      0.00      1.12      7.12      0.00     91.71
                all      0.06      0.00      1.13      7.50      0.00     91.32
                all      0.11      0.00      1.29      7.83      0.00     90.76
                all      0.06      0.00      1.12      8.02      0.00     90.81
                all      0.05      0.00      1.13      8.07      0.00     90.75
                all      0.08      0.00      0.76      3.06      0.00     96.10
end------
                all      0.05      0.00      0.55      0.00      0.00     99.41
                all      0.13      0.00      0.83      0.00      0.00     99.04
                all      0.14      0.00      0.87      0.08      0.00     98.90
                all      0.14      0.00      0.84      0.00      0.00     99.02
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.13      0.00      0.81      0.00      0.00     99.06
                all      0.15      0.00      0.90      0.00      0.00     98.95
                all      0.09      0.00      0.54      0.10      0.00     99.27
                all      0.12      0.00      0.51      0.00      0.00     99.37
                all      0.16      0.00      0.54      0.00      0.00     99.30
                all      0.13      0.00      0.45      0.00      0.00     99.42
                all      0.13      0.00      0.44      0.00      0.00     99.44
start----
                all     41.89      0.00      0.81      0.01      0.00     57.29
                all     99.22      0.00      0.78      0.00      0.00      0.00
                all     99.21      0.00      0.79      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
                all     99.07      0.00      0.79      0.00      0.00      0.13
                all     96.30      0.00      1.09      0.00      0.00      2.61
                all     86.88      0.00      0.60      0.00      0.00     12.52
                all     55.58      0.00      0.10      0.00      0.00     44.32
                all      0.44      0.00      0.09      0.00      0.00     99.47
                all      0.41      0.00      0.11      0.00      0.00     99.48
                all      0.06      0.00      3.68      2.85      0.00     93.40
                all      0.06      0.00      1.16      5.53      0.00     93.25
                all      0.10      0.00      1.18      5.72      0.00     92.99
                all      0.06      0.00      1.15      5.94      0.00     92.85
                all      0.07      0.00      1.18      6.89      0.00     91.85
                all      0.10      0.00      1.23      7.16      0.00     91.52
                all      0.06      0.00      1.18      7.37      0.00     91.39
                all      0.06      0.00      1.13      7.39      0.00     91.43
                all      0.08      0.00      1.18      7.37      0.00     91.38
                all      0.07      0.00      1.17      7.70      0.00     91.05
                all      0.06      0.00      1.14      8.03      0.00     90.76
                all      0.06      0.00      1.08      7.96      0.00     90.90
                all      0.07      0.00      0.48      0.76      0.00     98.70
end------
                all      0.06      0.00      0.59      0.00      0.00     99.35
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.16      0.00      0.88      0.07      0.00     98.88
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.16      0.00      0.89      0.00      0.00     98.95
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.12      0.00      0.65      0.10      0.00     99.13
                all      0.13      0.00      0.49      0.00      0.00     99.37
                all      0.16      0.00      0.54      0.00      0.00     99.30
                all      0.13      0.00      0.44      0.00      0.00     99.43
                all      0.13      0.00      0.43      0.00      0.00     99.44
start----
                all     22.75      0.00      0.66      0.00      0.00     76.58
                all     99.47      0.00      0.53      0.00      0.00      0.00
                all     99.10      0.00      0.90      0.00      0.00      0.00
                all     98.72      0.00      1.23      0.00      0.00      0.05
                all     98.16      0.00      1.13      0.00      0.00      0.71
                all     95.96      0.00      0.39      0.00      0.00      3.65
                all     90.10      0.00      0.28      0.00      0.00      9.62
                all     66.28      0.00      0.22      0.00      0.00     33.50
                all      0.70      0.00      0.08      0.00      0.00     99.22
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.14      0.00      0.41      0.01      0.00     99.43
                all      0.10      0.00      0.36      0.01      0.00     99.53
                all      0.08      0.00      0.36      0.01      0.00     99.54
                all      0.14      0.00      0.44      0.01      0.00     99.42
                all      0.09      0.00      0.37      0.01      0.00     99.53
                all      0.09      0.00      0.37      0.01      0.00     99.53
                all      0.08      0.00      3.52      4.78      0.00     91.61
                all      0.09      0.00      1.26      9.46      0.00     89.20
                all      0.02      0.00      0.38      0.00      0.00     99.60
end------
                all      0.09      0.00      0.55      0.00      0.00     99.35
                all      0.17      0.00      0.53      0.00      0.00     99.30
                all      0.13      0.00      0.44      0.00      0.00     99.42
                all      0.13      0.00      0.44      0.00      0.00     99.44
start----
                all      0.15      0.00      0.47      0.00      0.00     99.38
                all     82.00      0.00      0.59      0.00      0.00     17.41
                all     99.64      0.00      0.36      0.00      0.00      0.00
                all     99.40      0.00      0.60      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
